	I_D	TSEVENT_ID	YEAR_x	MONTH_x	DAY_x	DOUBTFUL	COUNTRY_x	STATE_x	LOCATION_NAME_x	LATITUDE_x	LONGITUDE_x	REGION_CODE_x	DISTANCE_FROM_SOURCE	TRAVEL_TIME_HOURS	TRAVEL_TIME_MINUTES	WATER_HT	HORIZONTAL_INUNDATION	TYPE_MEASUREMENT_ID	PERIOD	FIRST_MOTION	DEATHS_x	DEATHS_DESCRIPTION_x	INJURIES_x	INJURIES_DESCRIPTION_x	DAMAGE_MILLIONS_DOLLARS_x	DAMAGE_DESCRIPTION_x	HOUSES_DAMAGED_x	HOUSES_DAMAGED_DESCRIPTION_x	HOUSES_DESTROYED_x	HOUSES_DESTROYED_DESCRIPTION_x	COORDS	ID	YEAR_y	MONTH_y	DAY_y	HOUR	MINUTE	SECOND	VENT_VALIDITY	CAUSE_CODE	FOCAL_DEPTH	PRIMARY_MAGNITUDE	COUNTRY_y	STATE_y	LOCATION_NAME_y	LATITUDE_y	LONGITUDE_y	REGION_CODE_y	MAXIMUM_WATER_HEIGHT	ABE	IIDA	SOLOVIEV	WARNING_STATUS	DEATHS_y	DEATHS_DESCRIPTION_y	MISSING	MISSING_DESCRIPTION	INJURIES_y	INJURIES_DESCRIPTION_y	DAMAGE_MILLIONS_DOLLARS_y	DAMAGE_DESCRIPTION_y	HOUSES_DESTROYED_y	HOUSES_DESTROYED_DESCRIPTION_y	HOUSES_DAMAGED_y	HOUSES_DAMAGED_DESCRIPTION_y	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
15	10900	3108.0	1172.0				ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.0	15.0	50.0	0.0					1.0				3.0									(38.0, 15.0)	3429	963	7.0	22.0				3.0	1.0			ITALY		SICILY	38.0	15.0	50				5.0			4.0												4.0										
16	10900	3108.0	1172.0				ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.0	15.0	50.0	0.0					1.0				3.0									(38.0, 15.0)	3108	1172						3.0	1.0			ITALY		ISLAND OF SICILY	38.0	15.0	50							3.0												3.0										
17	10911	3112.0	1329.0	6.0	28.0		ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.0	15.0	50.0	30.0					1.0													(38.0, 15.0)	3097	177						2.0	1.0			ITALY		ISLAND OF SICILY	38.0	15.0	50				6.0									2.0												2.0				
18	10911	3112.0	1329.0	6.0	28.0		ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.0	15.0	50.0	30.0					1.0													(38.0, 15.0)	3429	963	7.0	22.0				3.0	1.0			ITALY		SICILY	38.0	15.0	50				5.0			4.0												4.0										
19	10911	3112.0	1329.0	6.0	28.0		ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.0	15.0	50.0	30.0					1.0													(38.0, 15.0)	3108	1172						3.0	1.0			ITALY		ISLAND OF SICILY	38.0	15.0	50							3.0												3.0										
20	10957	3139.0	1693.0	1.0	11.0		ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.0	15.0	50.0	96.0					1.0													(38.0, 15.0)	3097	177						2.0	1.0			ITALY		ISLAND OF SICILY	38.0	15.0	50				6.0									2.0												2.0				
21	10957	3139.0	1693.0	1.0	11.0		ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.0	15.0	50.0	96.0					1.0													(38.0, 15.0)	3429	963	7.0	22.0				3.0	1.0			ITALY		SICILY	38.0	15.0	50				5.0			4.0												4.0										
22	10957	3139.0	1693.0	1.0	11.0		ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.0	15.0	50.0	96.0					1.0													(38.0, 15.0)	3108	1172						3.0	1.0			ITALY		ISLAND OF SICILY	38.0	15.0	50							3.0												3.0										
23	11369	3311.0	1845.0	6.0	18.0		ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.0	15.0	50.0	225.0					1.0													(38.0, 15.0)	3097	177						2.0	1.0			ITALY		ISLAND OF SICILY	38.0	15.0	50				6.0									2.0												2.0				
24	11369	3311.0	1845.0	6.0	18.0		ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.0	15.0	50.0	225.0					1.0													(38.0, 15.0)	3429	963	7.0	22.0				3.0	1.0			ITALY		SICILY	38.0	15.0	50				5.0			4.0												4.0										
25	11369	3311.0	1845.0	6.0	18.0		ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.0	15.0	50.0	225.0					1.0													(38.0, 15.0)	3108	1172						3.0	1.0			ITALY		ISLAND OF SICILY	38.0	15.0	50							3.0												3.0										
26	10879	81.0	975.0	10.0	26.0		TURKEY		MARMARA SEA, STRAIT OF BOSPORUS	41.04	28.98	50.0	0.0					1.0													(41.039999999999999, 28.98)	81	975	10.0	26.0				2.0	0.0			TURKEY		MARMARA SEA, STRAIT OF BOSPORUS	41.04	28.98	50				3.0																									
27	10879	81.0	975.0	10.0	26.0		TURKEY		MARMARA SEA, STRAIT OF BOSPORUS	41.04	28.98	50.0	0.0					1.0													(41.039999999999999, 28.98)	262	1646	4.0	5.0				1.0	1.0			TURKEY		MARMARA SEA	41.04	28.98	50				4.0																									
28	10374	2992.0	1099.0	2.0	22.0		JAPAN	WAKAYAMA	NANKAIDO COAST	33.0	135.5	85.0	0.0					1.0													(33.0, 135.5)	2992	1099	2.0	22.0				4.0	1.0		8.4	JAPAN		NANKAIDO	33.0	135.5	85			2.5										1.0												1.0				
29	61	97.0	1099.0	11.0	11.0		UK		SAINT MICHAEL'S MOUNT, ENGLAND	50.11600000000001	-5.483	73.0	0.0					1.0													(50.116000000000007, -5.4829999999999997)	97	1099	11.0	11.0				1.0	0.0			UK		WEST CORNWALL, ENGLAND	50.11600000000001	-5.483	73																													
30	19806	5433.0	2011.0	6.0	27.0		UK		SAINT MICHAEL'S MOUNT, ENGLAND	50.11600000000001	-5.483	73.0	181.0					1.0													(50.116000000000007, -5.4829999999999997)	97	1099	11.0	11.0				1.0	0.0			UK		WEST CORNWALL, ENGLAND	50.11600000000001	-5.483	73																													
31	10376	106.0	1257.0	10.0	9.0		JAPAN	KANAGAWA	SAGAMI BAY	35.2	139.5	85.0	0.0					1.0													(35.200000000000003, 139.5)	106	1257	10.0	9.0				4.0	1.0		7.0	JAPAN		SAGAMI BAY, JAPAN	35.2	139.5	85			1.0	1.0									1.0												1.0				
32	28208	245.0	1633.0	3.0	1.0		JAPAN	KANAGAWA	SAGAMI BAY	35.2	139.5	85.0	27.0					1.0													(35.200000000000003, 139.5)	106	1257	10.0	9.0				4.0	1.0		7.0	JAPAN		SAGAMI BAY, JAPAN	35.2	139.5	85			1.0	1.0									1.0												1.0				
33	19494	515.0	1775.0	10.0			JAPAN	KANAGAWA	SAGAMI BAY	35.2	139.5	85.0						1.0				3.0				2.0				2.0	(35.200000000000003, 139.5)	106	1257	10.0	9.0				4.0	1.0		7.0	JAPAN		SAGAMI BAY, JAPAN	35.2	139.5	85			1.0	1.0									1.0												1.0				
34	84	146.0	1498.0	9.0	20.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	184.0					1.0			1.0	1.0									(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
35	10445	403.0	1732.0			M	JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	0.0			2.0		1.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
36	12566	1824.0	1952.0	9.0	16.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	111.0			0.15		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
37	12567	1825.0	1952.0	9.0	23.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	111.0			0.05		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
38	12568	1826.0	1952.0	9.0	24.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	111.0			0.15		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
39	12569	1827.0	1952.0	9.0	26.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	111.0			0.05		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
40	12673	1833.0	1953.0	3.0	11.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	111.0			0.05		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
41	29948	5566.0	1953.0	3.0	25.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	111.0			0.05		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
42	12693	1841.0	1953.0	11.0	25.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	205.0			1.5		1.0	12.0												(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
43	12700	1863.0	1956.0	8.0	12.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	119.0			0.23		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
44	13370	1914.0	1961.0	2.0	26.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	767.0	1.0	59.0	0.02		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
45	13509	1954.0	1964.0	3.0	28.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	5916.0	7.0	47.0	0.07		2.0	8.0												(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
46	13690	1964.0	1965.0	2.0	4.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	3719.0			0.23		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
47	14215	2046.0	1972.0	2.0	29.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	99.0			0.21		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
48	14242	2055.0	1972.0	12.0	2.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	3256.0			0.15		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
49	14277	2056.0	1972.0	12.0	4.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	90.0			0.17		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
50	14430	2075.0	1975.0	6.0	10.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	1304.0			0.09		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
51	14462	2079.0	1975.0	10.0	31.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	2681.0			0.28		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
52	14484	2080.0	1975.0	11.0	29.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	6576.0			0.09		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
53	14503	2096.0	1978.0	1.0	14.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	196.0			0.06		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
54	14590	2122.0	1979.0	12.0	12.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	14390.0			0.06		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
55	14636	2125.0	1980.0	7.0	17.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	5784.0	8.0	3.0	0.04		2.0	16.0	R											(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
56	14710	2136.0	1982.0	7.0	23.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	387.0			0.03		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
57	14711	2139.0	1982.0	12.0	28.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	86.0			0.19		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
58	14958	2154.0	1984.0	6.0	13.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	185.0			0.5		1.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
59	14959	2154.0	1984.0	6.0	13.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	185.0			0.07		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
60	14974	2156.0	1984.0	9.0	18.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	190.0			0.11		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
61	14994	2158.0	1985.0	3.0	3.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	17100.0			0.18		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
62	15019	2164.0	1986.0	5.0	7.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	4173.0			0.1		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
63	15059	2194.0	1990.0	4.0	5.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	2150.0			0.23		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
64	15065	2196.0	1990.0	9.0	23.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	106.0			0.1		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
65	15070	2206.0	1991.0	12.0	22.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	1685.0			0.09		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
66	15282	2230.0	1994.0	10.0	4.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	1356.0			0.16		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
67	15330	2249.0	1995.0	7.0	30.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	16894.0			0.07		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
68	15358	2253.0	1995.0	10.0	18.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	1083.0			0.18		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
69	11535	2253.0	1995.0	10.0	18.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	1083.0			0.18		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
70	15374	2254.0	1995.0	10.0	19.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	1075.0			0.15		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
71	15390	2257.0	1995.0	12.0	3.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	1526.0			0.1		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
72	15425	2260.0	1996.0	2.0	17.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	3792.0	14.0	12.0	0.86		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
73	11507	2260.0	1996.0	2.0	17.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	3792.0			0.86		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
74	10550	2263.0	1996.0	6.0	10.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	3982.0					2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
75	15456	2265.0	1996.0	9.0	4.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	173.0			0.19		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
76	6545	2281.0	1998.0	7.0	17.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	4020.0	15.0	21.0	0.11		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
77	10615	2398.0	2002.0	9.0	8.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	4063.0			0.1		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
78	19252	5413.0	2011.0	3.0	11.0		JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85.0	624.0	0.0	54.0	1.4		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
79	31057	5584.0	2015.0	5.0	2.0		JAPAN	TOKYO	HACHIJO ISLAND	33.1	139.767	85.0	172.0			0.5		2.0													(33.100000000000001, 139.767)	403	1732						1.0	0.0			JAPAN		HACHIJO ISLAND, JAPAN	33.1	139.767	85	2.0		1.0																										
80	7643	170.0	1543.0				VENEZUELA		PUNTA DE ARAYA	10.633	-64.3	74.0	23.0					1.0								1.0					(10.632999999999999, -64.299999999999997)	398	1726						2.0	0.0			VENEZUELA		PENINSULA DE ARAYA	10.633	-64.3	74													1.0																
81	308	398.0	1726.0				VENEZUELA		PENINSULA DE ARAYA	10.633	-64.3	74.0	0.0					1.0													(10.632999999999999, -64.299999999999997)	398	1726						2.0	0.0			VENEZUELA		PENINSULA DE ARAYA	10.633	-64.3	74													1.0																
82	6682	398.0	1726.0				VENEZUELA		SALINA DE ARAYA	10.633	-64.3	74.0	0.0					1.0								1.0					(10.632999999999999, -64.299999999999997)	398	1726						2.0	0.0			VENEZUELA		PENINSULA DE ARAYA	10.633	-64.3	74													1.0																
83	28206	171.0	1545.0	2.0	7.0		JAPAN		IZU PENINSULA, HONSHU	34.8	139.0	85.0	0.0					1.0													(34.799999999999997, 139.0)	171	1545	2.0	7.0				2.0	1.0			JAPAN		IZU PENINSULA	34.8	139.0	85																													
