	I_D	TSEVENT_ID	YEAR	MONTH	DAY	DOUBTFUL	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DISTANCE_FROM_SOURCE	TRAVEL_TIME_HOURS	TRAVEL_TIME_MINUTES	WATER_HT	HORIZONTAL_INUNDATION	TYPE_MEASUREMENT_ID	PERIOD	FIRST_MOTION	DEATHS	DEATHS_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	COORDS
18	19368	15.0	-138.0				LEBANON		SUR [TYRE]	33.2733	35.1939	50.0						1.0													(33.273299999999999, 35.193899999999999)
19	19367	15.0	-138.0				ISRAEL		AKKO (ACRE)	32.924	35.073	50.0						1.0				3.0									(32.923999999999999, 35.073)
20	19366	15.0	-138.0				LEBANON		SIDON	33.5631	35.3689	50.0						1.0				3.0									(33.563099999999999, 35.368899999999996)
21	17631	3714.0	-58.0				ALBANIA		DURAZZO	41.323	19.441	50.0	6.0					1.0													(41.323, 19.440999999999999)
22	16092	19.0	-23.0				EGYPT		ALEXANDRIA	31.2	29.919	50.0						1.0													(31.199999999999999, 29.919)
23	16093	19.0	-23.0				EGYPT		PELUSIUM	31.133000000000003	32.667	50.0						1.0													(31.133000000000003, 32.667000000000002)
24	17632	23.0	62.0				GREECE		LEBENA	34.931	24.929000000000002	50.0	34.0					1.0													(34.930999999999997, 24.929000000000002)
25	16533	4396.0	115.0	12.0	13.0		ISRAEL		CAESAREA	32.483000000000004	34.883	50.0	418.0					1.0													(32.483000000000004, 34.883000000000003)
26	25334	3583.0	123.0				SOUTH KOREA		KYONGJU	35.8428	129.2117	84.0	5.0					1.0													(35.842799999999997, 129.21170000000001)
27	10	27.0	142.0				GREECE		ISLAND OF SYMI	36.58	27.83	50.0	20.0					1.0								2.0				2.0	(36.579999999999998, 27.829999999999998)
28	11	27.0	142.0				GREECE		ISLAND OF KOS	36.8933	27.2889	50.0	67.0					1.0								2.0				2.0	(36.893300000000004, 27.288900000000002)
29	9	27.0	142.0				GREECE		ISLAND OF RHODES	36.167	28.0	50.0	59.0					1.0								2.0				2.0	(36.167000000000002, 28.0)
30	12	27.0	142.0				GREECE		ISLAND OF SERIFOS	37.15	24.5	50.0	315.0					1.0								2.0				2.0	(37.149999999999999, 24.5)
31	25331	29.0	173.0	6.0	28.0		CHINA		YEHSIAN, SHANDONG	37.1717	119.9214	84.0	37.0					1.0													(37.171700000000001, 119.92140000000001)
32	25330	29.0	173.0	6.0	28.0		CHINA		HUANGXIAN, SHANDONG	37.6481	120.5261	84.0	49.0					1.0													(37.648099999999999, 120.5261)
33	25332	29.0	173.0	6.0	28.0		CHINA		CHANYI, SHANDONG	36.8536	119.3908	84.0	90.0					1.0													(36.8536, 119.3908)
34	10864	3427.0	258.0				ITALY		ROME	41.9	12.45	50.0	0.0					7.0													(41.899999999999999, 12.449999999999999)
35	10865	34.0	342.0	7.0			GREECE		THRACE	41.3	19.5	50.0						1.0													(41.299999999999997, 19.5)
36	25838	3474.0	346.0				ALBANIA		DURRES (DYRRACHIUM)	41.3231	19.4414	50.0	9.0					1.0								1.0				1.0	(41.323099999999997, 19.441400000000002)
37	10868	36.0	348.0				SYRIA		SYRIAN COAST			50.0						1.0													(nan, nan)
38	10867	36.0	348.0				LEBANON		BEIRUT	33.53	35.3	50.0	45.0					1.0													(33.530000000000001, 35.299999999999997)
39	10866	36.0	348.0				SYRIA		ARWAD ISLAND	34.85	35.85	50.0	110.0					1.0													(34.850000000000001, 35.850000000000001)
40	25832	2314.0	358.0	8.0	24.0	?	TURKEY		IZMIT (NICOMEDEA)	40.77	29.94	50.0	3.0					1.0													(40.770000000000003, 29.940000000000001)
41	10856	38.0	365.0	7.0	21.0		SPAIN		MALAGA	36.717	-4.417	50.0	2470.0					1.0				3.0				3.0					(36.716999999999999, -4.4169999999999998)
42	19370	38.0	365.0	7.0	21.0		SPAIN		ADRA	36.7333	-3.0167	50.0	2346.0					1.0													(36.7333, -3.0167000000000002)
43	10857	38.0	365.0	7.0	21.0		ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.18	15.56	50.0	752.0					1.0													(38.18, 15.56)
44	19371	38.0	365.0	7.0	21.0		CROATIA		EPIDAURUS	42.5811	18.2181	50.0	939.0					1.0													(42.581099999999999, 18.2181)
45	17	38.0	365.0	7.0	21.0		GREECE		ACHAEA, PELOPONNESUS	38.25	21.75	50.0	378.0					1.0								2.0					(38.25, 21.75)
46	16	38.0	365.0	7.0	21.0		GREECE		KNOSSOS, CRETE	35.3	25.166999999999998	50.0	200.0					1.0			5000.0	4.0				2.0					(35.299999999999997, 25.166999999999998)
47	15	38.0	365.0	7.0	21.0	?	TURKEY		ALEXANDRIA TROAS	40.154	26.406999999999996	50.0	647.0					1.0			700.0	3.0									(40.154000000000003, 26.406999999999996)
48	19369	38.0	365.0	7.0	21.0		PORTUGAL		CAPE SOUTH VICENTE	37.025	-8.9944	73.0	2874.0					1.0													(37.024999999999999, -8.9944000000000006)
49	16091	38.0	365.0	7.0	21.0		GREECE		GORTIS, CRETE	35.325	25.1306	50.0	197.0					1.0													(35.325000000000003, 25.130600000000001)
50	16148	38.0	365.0	7.0	21.0		EGYPT		ALEXANDRIA	31.2	29.919	50.0	771.0					1.0				1.0				1.0				1.0	(31.199999999999999, 29.919)
51	18	38.0	365.0	7.0	21.0		GREECE		METHONI, PELOPONNESUS	36.818000000000005	21.703000000000003	50.0	234.0					1.0								1.0					(36.818000000000005, 21.703000000000003)
52	16215	3475.0	368.0				TURKEY		BITHYNIA			50.0						1.0													(nan, nan)
53	10869	2315.0	407.0				ITALY		ISCHIA ISLAND	40.733000000000004	13.95	50.0	1265.0					1.0													(40.733000000000004, 13.949999999999999)
54	25336	39.0	416.0				INDONESIA	WEST JAVA	GEDE MOUNTAIN, JAVA	-6.78	106.8	60.0	170.0					1.0													(-6.7800000000000002, 106.8)
55	17552	39.0	416.0				INDIA	TAMIL NADU	POOMPUHAR	13.1144	80.2086	60.0	3511.0					1.0								3.0					(13.1144, 80.208600000000004)
56	19	39.0	416.0				INDONESIA	BANTEN	BATUWARA MOUNTAIN, JAVA	-6.3420000000000005	105.94	60.0	63.0					1.0													(-6.3420000000000005, 105.94)
57	20	39.0	416.0				INDONESIA	LAMPUNG	MOUNT RAJABASA, SUMATRA I.	-5.8368	105.6513	60.0	39.0					1.0				3.0									(-5.8368000000000002, 105.65130000000001)
58	10870	41.0	447.0	11.0	8.0		TURKEY		ISTANBUL (CONSTANTINOPLE)	41.019	28.965	50.0	41.0					1.0													(41.018999999999998, 28.965)
59	25	43.0	543.0				BULGARIA		DIONISIOUPOLIS [BALCHIK]	43.4167	28.1667	40.0	348.0					1.0				3.0				3.0					(43.416699999999999, 28.166699999999999)
60	24	43.0	543.0				BULGARIA		ODESSOS [VARNA]	43.2167	27.9167	40.0	325.0					1.0				3.0				3.0					(43.216700000000003, 27.916699999999999)
61	26	43.0	543.0				CYPRUS		APHRODISIO	35.404166700000005	33.7416667	50.0	754.0					1.0				3.0				3.0					(35.404166700000005, 33.741666700000003)
62	27	43.0	543.0				TURKEY		GULF OF EDREMIT	39.583333	26.95	50.0	108.0					1.0													(39.583333000000003, 26.949999999999999)
63	31	46.0	551.0	7.0	7.0		GREECE		MALIACUS GULF			50.0						1.0													(nan, nan)
64	10871	47.0	551.0	7.0	9.0		TURKEY		LEVANTIAN SEA			50.0						1.0													(nan, nan)
65	30	46.0	551.0				GREECE		SKARPHIA, MALIAKOS GULF	36.83	27.17	50.0	463.0					1.0													(36.829999999999998, 27.170000000000002)
66	29	46.0	551.0				GREECE		TARPHE, MALIAKOS GULF	36.83	27.17	50.0	463.0					1.0													(36.829999999999998, 27.170000000000002)
67	28	46.0	551.0				GREECE		ECHINOS, MALIAKOS GULF	36.83	27.17	50.0	463.0					1.0													(36.829999999999998, 27.170000000000002)
68	10872	48.0	554.0				GREECE		SOUTHERN SPORADES			50.0						1.0													(nan, nan)
69	32	48.0	554.0				TURKEY		GULF OF ANTALYA			50.0						1.0													(nan, nan)
70	33	48.0	554.0				GREECE		ISLAND OF KOS	36.8933	27.2889	50.0	48.0					1.0													(36.893300000000004, 27.288900000000002)
71	34	53.0	684.0	11.0	29.0		JAPAN	MIE	ATASHIKA	33.917	136.15	85.0	255.0			3.0		1.0													(33.917000000000002, 136.15000000000001)
72	35	53.0	684.0	11.0	29.0		JAPAN	KOCHI	TOSA	33.51	133.44	85.0	124.0					1.0													(33.509999999999998, 133.44)
73	36	54.0	701.0	5.0	12.0		JAPAN	KYOTO	TANGO, KYOTO	35.87	135.08	85.0	35.0					1.0													(35.869999999999997, 135.08000000000001)
74	37	55.0	704.0	8.0	2.0		JAPAN		KUMAMONADA			85.0						1.0													(nan, nan)
75	38	56.0	740.0	10.0	26.0		TURKEY		THRACIAN COAST	41.0	29.0	50.0	42.0					1.0													(41.0, 29.0)
76	10873	56.0	740.0	10.0	26.0		TURKEY		IZMIT	40.77	29.94	50.0	54.0					1.0													(40.770000000000003, 29.940000000000001)
77	39	57.0	744.0	6.0	30.0		JAPAN	KUMAMOTO	KUMAMOTO	32.83	130.7	85.0	51.0					1.0			1520.0	4.0				3.0			470.0	3.0	(32.829999999999998, 130.69999999999999)
78	40	58.0	745.0	6.0	9.0		JAPAN	OSAKA	OSAKA BAY	34.5	135.33	85.0	11.0					1.0				3.0									(34.5, 135.33000000000001)
79	10875	59.0	746.0	1.0	18.0		EGYPT		COAST			50.0						1.0													(nan, nan)
80	10874	59.0	746.0	1.0	18.0		LEBANON					50.0						1.0													(nan, nan)
81	41	61.0	766.0	7.0	20.0		JAPAN	KAGOSHIMA	OSUMI ISLAND	30.0	130.0	85.0	190.0					1.0				3.0									(30.0, 130.0)
82	10876	62.0	792.0	4.0	30.0		ITALY		GULF OF VENICE	45.5	12.5	50.0	117.0					1.0													(45.5, 12.5)
83	42	63.0	799.0	9.0	18.0		JAPAN	IBARAKI	HITACHI	36.58	140.67	85.0				2.0		1.0													(36.579999999999998, 140.66999999999999)
84	28199	63.0	799.0	9.0	18.0		JAPAN	IBARAKI	KUJI	40.1878	141.7689	85.0						1.0													(40.187800000000003, 141.7689)
85	28198	63.0	799.0	9.0	18.0		JAPAN	IBARAKI	NAKAMINATO	36.333	140.59	85.0						1.0													(36.332999999999998, 140.59)
86	28200	63.0	799.0	9.0	18.0		JAPAN	IBARAKI	KASHIMA	35.933	140.69	85.0						1.0													(35.933, 140.69)
87	43	66.0	818.0	8.0			JAPAN	CHIBA	BOSO PENINSULA	34.9	139.85	85.0	60.0					1.0				3.0									(34.899999999999999, 139.84999999999999)
88	16349	67.0	842.0	10.0	24.0		UK		CHANNEL ISLANDS, ENGLAND	49.333	-2.3169999999999997	73.0	23.0					1.0													(49.332999999999998, -2.3169999999999997)
89	16348	67.0	842.0	10.0	24.0		FRANCE		NORTHERN FRANCE			73.0						1.0													(nan, nan)
90	44	69.0	850.0	11.0	27.0		JAPAN	AKITA	KISAGATA	39.2167	139.9	85.0	24.0				4000.0	1.0								2.0					(39.216700000000003, 139.90000000000001)
91	10213	70.0	855.0	6.0			JAPAN	KAGOSHIMA	KUMANO	30.68	130.967	85.0						1.0													(30.68, 130.96700000000001)
92	10877	71.0	859.0				TURKEY		SAMANDAGI	36.08	36.25	50.0	0.0					1.0													(36.079999999999998, 36.25)
93	10214	72.0	863.0	7.0	10.0		JAPAN	NIIGATA	NAOETSUKO	37.1	138.0	85.0	0.0					1.0													(37.100000000000001, 138.0)
94	19400	74.0	869.0	7.0	13.0		JAPAN	WAKAYAMA	IWASHIRO	33.783	135.283	85.0	927.0					1.0													(33.783000000000001, 135.28299999999999)
95	48	74.0	869.0	7.0	13.0		JAPAN	IWATE	RIKUCHU	39.74	142.0	85.0	208.0					1.0													(39.740000000000002, 142.0)
96	45	74.0	869.0	7.0	13.0		JAPAN	FUKUSHIMA	IWAKI	37.07	140.9	85.0	300.0					1.0													(37.07, 140.90000000000001)
97	46	74.0	869.0	7.0	13.0		JAPAN	MIYAGI	SENDAI	38.266999999999996	141.033	85.0	243.0					1.0			1000.0	3.0				3.0				3.0	(38.266999999999996, 141.03299999999999)
98	47	74.0	869.0	7.0	13.0		JAPAN	MIYAGI	SHIOGAMA	38.3	141.0	85.0	245.0					1.0								1.0					(38.299999999999997, 141.0)
99	10858	75.0	881.0	4.0	8.0		ISRAEL		AKKO (ACRE)	32.924	35.073	50.0						1.0													(32.923999999999999, 35.073)
100	16082	75.0	881.0	4.0	8.0		EGYPT		ALEXANDRIA	31.2	29.919	50.0						1.0													(31.199999999999999, 29.919)
101	49	76.0	887.0	8.0	2.0		JAPAN	NIIGATA	S. COAST NIIGATA PREFECTURE	37.92	139.05	85.0	96.0			4.0		1.0			2000.0	4.0									(37.920000000000002, 139.05000000000001)
102	51	77.0	887.0	8.0	26.0		JAPAN	OSAKA	OSAKA BAY	34.5	135.33	85.0	167.0					1.0				2.0				2.0					(34.5, 135.33000000000001)
103	50	77.0	887.0	8.0	26.0		JAPAN	KANAGAWA	HIYUGA	35.3	139.65	85.0	475.0					1.0								2.0					(35.299999999999997, 139.65000000000001)
104	17553	5283.0	900.0				INDIA	TAMIL NADU	NAGAPATTINUM, TAMIL NADU	10.767000000000001	79.833	60.0	48.0					1.0			200.0	3.0				3.0				2.0	(10.767000000000001, 79.832999999999998)
105	10224	79.0	922.0				JAPAN	MIE	KUMAMONADA	33.8	136.7	85.0	0.0			2.0		1.0													(33.799999999999997, 136.69999999999999)
106	10878	3429.0	963.0	7.0	22.0		ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.0	15.0	50.0	0.0					1.0				4.0									(38.0, 15.0)
107	10879	81.0	975.0	10.0	26.0		TURKEY		MARMARA SEA, STRAIT OF BOSPORUS	41.04	28.98	50.0	0.0					1.0													(41.039999999999999, 28.98)
108	19372	3562.0	1008.0	4.0	11.0		IRAN		SIRAF	27.666659999999997	52.3425	30.0	1.0					1.0				3.0				1.0					(27.666659999999997, 52.342500000000001)
109	19401	83.0	1026.0	6.0	16.0		JAPAN	YAMAGUCHI	SUSA	34.6167	131.6	85.0	27.0			10.0		1.0													(34.616700000000002, 131.59999999999999)
110	52	83.0	1026.0	6.0	16.0		JAPAN	SHIMANE	IWAMI COAST	34.88	132.43	85.0	58.0			10.0		1.0			1000.0	3.0									(34.880000000000003, 132.43000000000001)
111	25678	84.0	1033.0	12.0	2.0		ISRAEL		CAESAREA PHILIPPI	32.483000000000004	34.883	50.0	59.0					1.0													(32.483000000000004, 34.883000000000003)
112	10887	84.0	1033.0	12.0	5.0		ISRAEL		AKKO (ACRE)	32.924	35.073	50.0	11.0					1.0				2.0									(32.923999999999999, 35.073)
113	10886	84.0	1033.0	12.0	5.0		ISRAEL		ASHKELON	31.666999999999998	34.55	50.0	154.0					1.0													(31.666999999999998, 34.549999999999997)
114	10885	84.0	1033.0	12.0	5.0		ISRAEL		GAZA	31.52	34.43	50.0	173.0					1.0													(31.52, 34.43)
115	25679	84.0	1033.0	12.0	5.0		LEBANON		LEBANON COAST	33.8	35.8	50.0	116.0					1.0													(33.799999999999997, 35.799999999999997)
116	10889	87.0	1039.0	2.0	2.0		TURKEY		ISTANBUL (CONSTANTINOPLE)	41.019	28.965	50.0	324.0					1.0													(41.018999999999998, 28.965)
117	10890	3102.0	1050.0				GREECE		ISLAND OF THIRA			50.0						1.0													(nan, nan)
118	10892	3103.0	1065.0	9.0	23.0		TURKEY		PRINCES ISLANDS, MARMARA SEA	40.87	29.12	50.0						1.0													(40.869999999999997, 29.120000000000001)
119	10891	3103.0	1065.0	9.0	23.0		TURKEY		NICOLIDEA			50.0						1.0													(nan, nan)
120	10893	3103.0	1065.0	9.0	23.0		TURKEY		ISTANBUL (CONSTANTINOPLE)	41.019	28.965	50.0						1.0													(41.018999999999998, 28.965)
121	10894	90.0	1068.0	3.0	18.0		ISRAEL		ASHDOD	31.816999999999997	34.65	50.0	259.0					1.0				3.0				3.0					(31.816999999999997, 34.649999999999999)
122	56	90.0	1068.0	3.0	18.0		ISRAEL		HOLON	32.010999999999996	34.772	50.0	280.0					1.0				3.0				3.0					(32.010999999999996, 34.771999999999998)
123	10895	90.0	1068.0	3.0	18.0		ISRAEL		YAVNE	31.816999999999997	34.717	50.0	259.0					1.0				3.0				3.0					(31.816999999999997, 34.716999999999999)
124	19374	91.0	1076.0	10.0	31.0		CHINA		CHAOANG, KWANGTUNG			84.0						1.0				1.0				1.0				1.0	(nan, nan)
125	10225	93.0	1088.0	6.0	10.0		JAPAN	IWATE	SANRIKU COAST	39.33	142.0	85.0	156.0			2.0		1.0													(39.329999999999998, 142.0)
126	60	96.0	1096.0	12.0	17.0		JAPAN	MIE	TSU	34.717	136.517	85.0	120.0			5.0		1.0													(34.716999999999999, 136.517)
127	59	96.0	1096.0	12.0	17.0		JAPAN	SHIZUOKA	SHIZUOKA	34.98	138.4	85.0	137.0					1.0													(34.979999999999997, 138.40000000000001)
128	58	96.0	1096.0	12.0	17.0		JAPAN	MIE	MIE	34.69	136.54	85.0	117.0					1.0													(34.689999999999998, 136.53999999999999)
129	57	96.0	1096.0	12.0	17.0		JAPAN	YAMAGATA	ATSUMI	34.62	137.11	85.0	78.0			7.0		1.0													(34.619999999999997, 137.11000000000001)
130	16504	96.0	1096.0	12.0	17.0		JAPAN		SURUGA BAY	34.7	138.2	85.0	101.0					1.0								3.0	400.0	3.0			(34.700000000000003, 138.19999999999999)
131	10374	2992.0	1099.0	2.0	22.0		JAPAN	WAKAYAMA	NANKAIDO COAST	33.0	135.5	85.0	0.0					1.0													(33.0, 135.5)
132	61	97.0	1099.0	11.0	11.0		UK		SAINT MICHAEL'S MOUNT, ENGLAND	50.11600000000001	-5.483	73.0	0.0					1.0													(50.116000000000007, -5.4829999999999997)
133	10896	98.0	1106.0	3.0			ITALY		MALAMOCCO	45.373000000000005	12.344000000000001	50.0	15.0					1.0													(45.373000000000005, 12.344000000000001)
134	25831	4201.0	1112.0	6.0	20.0		ITALY	CAMPANIA	NAPLES	40.83	14.25	50.0	2.0					1.0													(40.829999999999998, 14.25)
135	10898	2852.0	1169.0	2.0	4.0		ITALY	SICILY	MESSINA, SICILY	38.18	15.562000000000001	50.0	108.0					1.0													(38.18, 15.562000000000001)
136	10899	3107.0	1169.0	2.0	11.0		ITALY		CALABRIAN ARC			50.0						1.0													(nan, nan)
137	10900	3108.0	1172.0				ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.0	15.0	50.0	0.0					1.0				3.0									(38.0, 15.0)
138	15703	100.0	1202.0	5.0	20.0		CYPRUS		PAPHOS	34.75	32.42	50.0	358.0					1.0								1.0					(34.75, 32.420000000000002)
139	16090	100.0	1202.0	5.0	20.0		EGYPT		COAST	31.2	29.919	50.0	626.0					1.0													(31.199999999999999, 29.919)
140	62	100.0	1202.0	5.0	20.0		CYPRUS		LIMASSOL	34.67	33.03	50.0	303.0					1.0													(34.670000000000002, 33.030000000000001)
141	64	101.0	1222.0	5.0			CYPRUS		PAPHOS	34.75	32.42	50.0	60.0					1.0													(34.75, 32.420000000000002)
142	63	101.0	1222.0	5.0			CYPRUS		LIMASSOL	34.67	33.03	50.0	19.0					1.0													(34.670000000000002, 33.030000000000001)
143	25837	3478.0	1231.0	3.0	11.0		TURKEY		ISTANBUL (CONSTANTINOPLE)	41.019	28.965	50.0	31.0					1.0													(41.018999999999998, 28.965)
144	65	104.0	1241.0	5.0	22.0		JAPAN	KANAGAWA	KAMAKURA	35.309	139.55	85.0	18.0					1.0													(35.308999999999997, 139.55000000000001)
145	19470	104.0	1241.0	5.0	22.0		JAPAN	KANAGAWA	YUIGAHAMA	35.283	139.567	85.0	18.0					1.0								1.0					(35.283000000000001, 139.56700000000001)
146	10375	105.0	1257.0	10.0	9.0		JAPAN	IWATE	SANRIKU COAST	39.0	141.7	85.0	199.0					1.0													(39.0, 141.69999999999999)
147	10376	106.0	1257.0	10.0	9.0		JAPAN	KANAGAWA	SAGAMI BAY	35.2	139.5	85.0	0.0					1.0													(35.200000000000003, 139.5)
148	28202	106.0	1257.0	10.0	9.0		JAPAN	IWATE	KUJI	40.195	141.79	85.0	591.0					1.0													(40.195, 141.78999999999999)
149	28201	106.0	1257.0	10.0	9.0		JAPAN	IWATE	NODA	40.11	141.82	85.0	583.0					1.0													(40.109999999999999, 141.81999999999999)
150	10901	3109.0	1265.0	8.0	11.0		TURKEY		ISLAND OF PROCONNESUS (MARMARA IS)	40.633	27.616999999999997	50.0	20.0					1.0													(40.633000000000003, 27.616999999999997)
151	10902	108.0	1273.0	3.0			ALBANIA		DURRES	41.3231	19.4414	50.0	22.0					1.0													(41.323099999999997, 19.441400000000002)
152	10377	110.0	1293.0	5.0	27.0		JAPAN	KANAGAWA	KAMAKURA	35.309	139.55	85.0	18.0					1.0													(35.308999999999997, 139.55000000000001)
153	10904	111.0	1303.0	8.0	8.0		ISRAEL		AKKO (ACRE)	32.924	35.073	50.0	850.0					1.0				2.0									(32.923999999999999, 35.073)
154	66	111.0	1303.0	8.0	8.0		EGYPT		ALEXANDRIA	31.2	29.919	50.0	481.0					1.0			70.0	2.0				1.0					(31.199999999999999, 29.919)
155	10909	111.0	1303.0	8.0	8.0		GREECE		ISLAND OF RHODES	36.167	28.0	50.0	302.0					1.0													(36.167000000000002, 28.0)
156	10903	111.0	1303.0	8.0	8.0		GREECE		CANDIA, CRETE	35.333	25.133000000000003	50.0	168.0					1.0				3.0				3.0					(35.332999999999998, 25.133000000000003)
157	16094	111.0	1303.0	8.0	8.0		EGYPT		EGYPT COAST			50.0						1.0													(nan, nan)
158	10905	111.0	1303.0	8.0	8.0		SYRIA		SYRIA COAST			50.0						1.0													(nan, nan)
159	10906	111.0	1303.0	8.0	8.0		LEBANON		LEBANON COAST			50.0						1.0													(nan, nan)
160	67	111.0	1303.0	8.0	8.0		GREECE		HERAKLION (IRAKLION), CRETE	35.339	25.18	50.0	167.0					1.0								1.0					(35.338999999999999, 25.18)
161	15732	111.0	1303.0	8.0	8.0		GREECE		PELOPENNESUS			50.0						1.0													(nan, nan)
162	10910	3111.0	1321.0				ITALY	VENETO	VENICE	45.43899999999999	12.327	50.0	5.0					1.0													(45.438999999999993, 12.327)
163	10911	3112.0	1329.0	6.0	28.0		ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.0	15.0	50.0	30.0					1.0													(38.0, 15.0)
164	10912	115.0	1332.0	2.0	12.0		TURKEY		ISTANBUL (CONSTANTINOPLE)	41.019	28.965	50.0	14.0					1.0													(41.018999999999998, 28.965)
165	69	116.0	1341.0	10.0	31.0		JAPAN	AOMORI	JUSAN-MINATO	41.033	140.333	85.0	70.0					1.0			2600.0	4.0									(41.033000000000001, 140.333)
166	10914	3113.0	1343.0	11.0	25.0		ITALY	CAMPANIA	BAY OF NAPLES	40.83	14.25	50.0						1.0													(40.829999999999998, 14.25)
167	10915	3114.0	1344.0	2.0	12.0		TURKEY		MARMARA SEA, STRAIT OF BOSPORUS	41.03	29.0	50.0	31.0					1.0				3.0				2.0				2.0	(41.030000000000001, 29.0)
168	70	3114.0	1344.0	10.0	14.0		TURKEY		ISTANBUL (CONSTANTINOPLE)	41.03	29.0	50.0	31.0					1.0				3.0				2.0				2.0	(41.030000000000001, 29.0)
169	10916	3115.0	1348.0	1.0	25.0		ITALY		GULF OF VENICE	45.5	12.5	50.0	158.0					1.0													(45.5, 12.5)
170	71	122.0	1360.0	11.0	2.0		JAPAN	OSAKA	OSAKA BAY	34.667	135.433	85.0	158.0					1.0				3.0									(34.667000000000002, 135.43299999999999)
171	19402	122.0	1360.0	11.0	22.0		JAPAN		OWASE	34.083	136.2	85.0	76.0					1.0				3.0									(34.082999999999998, 136.19999999999999)
172	28203	122.0	1360.0	11.0	22.0		JAPAN		WAKAYAMA	34.2	135.2	85.0	128.0					1.0													(34.200000000000003, 135.19999999999999)
173	73	124.0	1361.0	8.0	3.0		JAPAN	OSAKA	NAMBAURA, OSAKA	34.7	135.5	85.0	195.0					1.0			600.0	3.0									(34.700000000000003, 135.5)
174	19471	124.0	1361.0	8.0	3.0		JAPAN	OSAKA	SETTSU	34.7782	135.5951	85.0	205.0					1.0													(34.778199999999998, 135.5951)
175	72	124.0	1361.0	8.0	3.0		JAPAN	TOKUSHIMA	AWA	34.06	134.6	85.0	124.0					1.0			60.0	2.0									(34.060000000000002, 134.59999999999999)
